Species
Barbourula kalimantanensis
Ansonia albomaculata
Sabahphrynus maculatus
Ansonia echinata
Ansonia fuliginea
Ansonia guibei
Ansonia hanitschi
Ansonia latidisca
Ansonia leptopus
Ansonia longidigita 
Ansonia minuta
Ansonia platysoma
Ansonia spinulifer
Ansonia vidua
Ansonia torrentis
Phrynoidis asper 
Ingerophrynus divergens
Phrynoidis juxtasper 
Duttaphrynus melanostictus
Ingerophrynus quadriporcatus
Leptophryne borbonica
Rentapia everetti
Rentapia hosii
Pelophryne api
Pelophryne brevipes
Nectophryne exigua 
Pelophryne guentheri
Pelophryne macrotis
Pelophryne misera
Pelophryne rhopophilia
Pelophryne saravacensis
Pelophryne signata
Pseudobufo subasper
Glyphoglossus brooksii
Glyphoglossus flavus
Glyphoglossus smithi
Chaperina fusca
Gastrophrynoides borneensis
Kalophrynus baluensis
Kalophrynus eok
Kalophrynus heterochirus
Kalophrynus intermedius
Kalophrynus nubicola
Kalophrynus pleurostigma
Kalophrynus punctatus
Kalophrynus subterrestris
Kaloula baleata
Kaloula pulchra
Metaphrynella sundana
Microhyla berdmorei
Microhyla borneensis
Microhyla maculifera
Nanohyla perparva
Nanohyla petrigena
Leptobrachella baluensis
Leptobrachella brevicrus
Leptobrachella mjobergi
Leptobrachella parva
Leptobrachella palmata
Leptobrachella serasanae
Leptobrachium abbotti
Leptobrachium gunungense
Leptobrachium hendricksoni
Leptobrachium montanum
Leptobrachium nigrops
Leptobrachella arayai 
Leptobrachella dringi
Leptobrachella hamidi
Leptobrachella hamidi
Leptobrachella maura
Leptobrachella picta
Pelobatrachus baluensis
Pelobatrachus edwardinae
Pelobatrachus kobayashii
Pelobatrachus nasuta
Fejervarya cancrivora
Fejervarya limnocharis
Hoplobatrachus rugulosus
Huia cavitympanum
Alcalus baluensis
Limnonectes asperatus
Limnonectes finchi
Limnonectes ibanorum
Limnonectes ingeri
Limnonectes kenepaiensis
Limnonectes kuhlii
Limnonectes hikidai 
Limnonectes leporinus
Limnonectes malesianus
Limnonectes palavanensis
Limnonectes paramacrodon
Occidozyga rhacoda
Meristogenys amoropalamus
Meristogenys jerboa
Meristogenys kinabaluensis
Meristogenys macrophthalmus
Meristogenys orphocnemis
Meristogenys phaeomerus
Meristogenys poecilus
Meristogenys whiteheadi
Occidozyga baluensis
Occidozyga laevis
Pulchrana baramica
Hylarana erythraea
Pulchrana glandulosa
Odorrana hosii
Pulchrana laterimaculata
Abavorana luctuosa
Indosylvirana nicobariensis
Pulchrana picturata
Chalcorana megalonesa
Chalcorana raniceps
Pulchrana signata
Staurois guttatus
Staurois latopalmatus
Staurois parvus
Staurois tuberilinguis
Nyctixalus pictus
Philautus acutus
Philautus amoenus
Philautus aurantium
Philautus bunitus
Philautus disgregus
Philautus erythrophthalmus
Philautus gunungensis
Philautus hosii
Philautus ingeri
Philautus kerangae
Philautus longicrus
Philautus mjobergi
Philautus petersi
Philautus refugii
Philautus saueri
Philautus tectus
Philautus umbra
Polypedates cholophthalmus
Polypedates colletti
Polypedates leucomystax
Polypedates macrotis
Polypedates otilophus
Leptomantis angulirostris
Kurixalus appendiculatus
Rhacophorus baluensis
Leptomantis cyanopunctatus
Zhangixalus dulitensis
Philautus everetti
Leptomantis fasciatus
Leptomantis gadingensis
Leptomantis gauni
Leptomantis harrissoni
Feihyla kajau
Rhacophorus nigropalmatus
Rhacophorus pardalis
Rhacophorus reinwardtii
Leptomantis rufipes
Theloderma horridum
